State,alpha,beta,delta,lambda,kappa,E0,I0
arizona,0.10000010945921307,0.07720376202471536,0.10000000010502441,0.010000000000000002,0.0008268264815756474,6000,1000
mississippi,0.10000000000000123,0.09341042462879395,0.10571561281342279,0.06390048565136867,0.0026399798783782106,1000,1500
new mexico,0.13311861470940656,0.05339473897499011,0.16889897826057243,0.01390961901059031,0.0011867688543515638,1000,1000
texas,0.49999677337762366,0.12444457926931042,0.2938856774557417,0.053370115292700145,0.001380791922135551,1000,1000
virginia,0.11254052694841701,0.050341157061968705,0.1000000071543394,0.010000000000000002,0.0006962620349880292,9500,1500
