State,alpha,beta,delta,lambda,kappa,E0,I0
arizona,0.10000000000191331,0.050000036023652286,0.10592359017387654,0.010000000000000002,0.000507855733339261,3500,1000
mississippi,0.10000000000000087,0.06226529852955167,0.10000106903446912,0.05384895378609548,0.00161784555000401,7500,1000
new mexico,0.10000000000000002,0.05000000040840039,0.28778728413788834,0.010091853857426699,0.0005080075229809462,1000,1000
texas,0.49999999710972926,0.12294056772488775,1.0815717309194572,0.05598498540153028,0.0012624412911543404,9500,9500
virginia,0.10000000000000359,0.05000000022726437,0.13214119854486975,0.010000000000000002,0.000746189557081521,1000,1000
