Metric,Ground Truth (arizona),Agent Policy (arizona),Ground Truth (mississippi),Agent Policy (mississippi),Ground Truth (new mexico),Agent Policy (new mexico),Ground Truth (texas),Agent Policy (texas),Ground Truth (virginia),Agent Policy (virginia)
Average R0,1.107520635856312,1.1055744768999582,1.0785756420791097,0.9965941830730057,1.0848778035623872,1.0878512375307163,1.0961807304096227,1.060284856410059,1.080392504997886,1.0873272943979018
Average Incidence Rate per 100K,51.144934489447984,46.48027827122189,38.33313817755579,10.360137436726557,67.85184394575874,50.13146114195712,37.91164543079147,20.61671521333113,101.96230417541133,90.35562658272548
