confirmed_agent_mean_4w,confirmed_agent_mean_8w,confirmed_gt_mean,confirmed_agent_mean_ori,confirmed_agent_mean_det,death_agent_mean_4w,death_agent_mean_8w,death_gt_mean,death_agent_mean_ori,death_agent_mean_det
2205347.667,2057292.5,2528961,2205049.667,2169741,58250.66667,54537.25,56688,57921.66667,57320.33333
2229115,2079935,2549705,2226111,2189767.333,58647,54916.5,56943,58332.33333,57713
2252766.333,2102062.5,2568837,2246823.333,2209481,59046,55294.5,57278,58741.66667,58103.66667
2276428,2124340,2586327,2267660.667,2229345,59444.33333,55673.25,57663,59148,58492
2300407.667,2146692,2605838,2288333.333,2249257.333,59844.66667,56050.25,58096,59553,58877.66667
2325091.333,2169925.25,2627750,2309434,2269681.333,60246,56426.25,58463,59955.66667,59263.33333
2350760,2193900,2651281,2330618,2290579.667,60647.66667,56803.75,58803,60357.33333,59646.33333
2377997.333,2219530.75,2674642,2352666.667,2312433.667,61053.33333,57183.5,59086,60758,60029.66667
2401706.667,2245014.25,2694824,2374882.333,2333661,61463.33333,57566.25,59291,61160,60414.33333
2424641.667,2269961.25,2713903,2396876,2354565.333,61873.33333,57950.25,59521,61562.33333,60800.66667
2447329.667,2294563.75,2732418,2418658.333,2375246.333,62282.33333,58335.5,59817,61964.33333,61183
2469889.333,2319624.5,2754155,2440408.333,2396127.333,62690.66667,58720.25,60194,62364,61562.66667
2492857,2345307.5,2777058,2462385.333,2417284,63097.66667,59104.75,60564,62762.33333,61940.66667
2516268.667,2372376.5,2800441,2484631.667,2439317,63501.33333,59490.5,60916,63158.33333,62317.33333
2540779,2401036.75,2820186,2507665,2462137.333,63905.33333,59878.5,61197,63554,62693.33333
2564060.667,2420404.75,2838936,2531031.333,2485012.333,64310.66667,60269.5,61428,63950,63070
2586604,2438935.25,2857807,2554015.667,2506937.333,64714.33333,60657.5,61654,64345,63445
2609004.333,2457463.25,2878644,2576847,2528944.667,65115.66667,61042.75,61966,64737,63818.66667
2631162,2474873.5,2900294,2599750.667,2551093.333,65514.33333,61422.25,62343,65125.66667,64191.66667
2653448.333,2492417.5,2922888,2622831,2573751,65910,61797,62719,65514.66667,64564
2675956.667,2509072.25,2946875,2646360.333,2597011,66304,62168.25,63074,65902,64934.66667
2698704.333,2525516.5,2968162,2670187.333,2620964.333,66695.33333,62535,63353,66288.66667,65304
2724382,2543177.25,2987530,2694616,2644433.333,67085,62897.25,63607,66675.33333,65674.33333
2749784.667,2561600.75,3006697,2718537,2667194,67474.33333,63255.25,63852,67060,66043.66667
2775368,2579580.5,3028894,2742611.667,2690065,67861.66667,63609,64170,67441.33333,66410.33333
2800984.333,2597626.75,3053945,2766505.667,2713057.333,68247.66667,63959,64548,67821,66776.66667
2827180.667,2615121.75,3079697,2790859.333,2736559,68632.66667,64304.5,64926,68198.33333,67139.66667
2853853.667,2632041.75,3107086,2815355,2760923.333,69018.33333,64645.5,65281,68574.33333,67500.33333
2881628.667,2648291.25,3131940,2840804.333,2786210,69404.33333,64983.75,65548,68950,67861.66667
2907696.667,2666209.5,3155551,2866409,2810980.667,69791.33333,65318.5,65775,69325,68223.66667
2933941,2684527.75,3178208,2891809.667,2835060.667,70176,65649,66016,69700.66667,68586
2959736,2703060.5,3203945,2916860.333,2858896.667,70558.66667,65975.25,66328,70074.66667,68947.33333
2985424.667,2720866.5,3232871,2941820.667,2882782,70940,66297.5,66714,70447.33333,69306
3011009.333,2738413.25,3265429,2966784,2907110.333,71318.66667,66615.75,67102,70818.66667,69661
3036884,2754823.75,3296764,2992073,2932413,71696.33333,66931.25,67480,71189,70015
3063255.333,2771132.25,3325200,3017964.333,2958595.333,72072,67243,67785,71560.33333,70371
3090727,2792119.5,3355450,3044377.333,2983788.333,72446.33333,67551,68024,71934.66667,70727.33333
3117527.333,2813483,3387629,3070064,3007991,72820,67857.75,68288,72306.33333,71081
3144299,2834453.75,3422626,3095736.667,3032028,73190.66667,68162,68663,72675,71432.66667
3170822,2855642.25,3456664,3121117.667,3056262.667,73557,68463.75,69108,73040,71781.33333
3197789,2876641.75,3493677,3146929,3080972.667,73922,68764.25,69572,73402.33333,72127.33333
3224958.333,2897921.5,3533048,3172811,3106681.667,74284,69061.75,70021,73762.66667,72469.33333
3253321,2919428,3569009,3199721.333,3133323.667,74645.33333,69357.5,70418,74120.33333,72812.33333
3278156.333,2946049,3601717,3226750.667,3158919.333,75005,69652.25,70746,74478,73154.66667
