active_case_ratio,death_incidence_7d,incidence_rate_7d
0.0,,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.33833898623604286,0.0,0.048334140890863755
1.0113842589833897,0.0,0.14448346556905514
1.7378111208505873,0.0007418192617683249,0.24961896664677719
2.551426538345791,0.0007418192617683249,0.36666913735680895
3.2754674804161534,0.0007418192617683249,0.4710889136754203
4.030764320414367,0.0015442199349721378,0.5804851458628186
4.706589934433136,0.0022254577853048933,0.6792225333205708
5.3073035568686,0.002225457785304941,0.7188814269465186
5.771980348355008,0.0027087409550821872,0.6913778071373854
6.235071342978766,0.0027087409550822024,0.656399532836692
6.63593587548227,0.0033723552927733564,0.604186021060423
7.052312548636733,0.004063111432623306,0.5706194439284876
7.429271451790144,0.004040475538209628,0.5334290901872004
7.828212668308571,0.004152421253929809,0.5153015700494975
7.80732071194685,0.0048075382806046915,0.4347048214912049
7.428547332477818,0.004994671531734058,0.33107114686723366
7.108379833954,0.0051927348323781,0.2697687053013974
6.718408943459873,0.005192734832378115,0.26888500976844026
6.420342929316188,0.004592893749043313,0.3335102582130165
6.101377250134201,0.004592893749043316,0.43739184360134187
5.870486440220476,0.004592893749043328,0.55151439269115
5.355637443535838,0.004040475538209664,0.5853502400738736
4.751383584683644,0.003583327466621549,0.5360409460346278
4.161453504537789,0.0035833274666215325,0.5172181085904461
3.6247285326958623,0.003088439869944286,0.4972141020741223
3.1459960171167034,0.0030884398699442843,0.5235264728895022
2.7995856642457375,0.003147272582466967,0.5566727928449878
2.5552336060522456,0.0022254577853049193,0.6173344840485868
2.8137468299096042,0.0022254577853048976,0.6636847895200998
4.260844872881761,0.0023846152960903875,0.7977708885490341
6.030592682200131,0.0015442199349721322,0.9852859520017625
8.142464869341717,0.0018668708690818218,1.2282112241285834
10.071117439842146,0.0025337951508601214,1.462174503653235
12.0174716285247,0.0036593075233129243,1.7066685660640029
13.891279052704611,0.00524545430411162,1.9500583397197582
15.627196783368221,0.006087138218143619,2.029295956449917
16.915655785178473,0.0072303597854736406,1.9171528166460974
18.04626248567509,0.008994080559911525,1.7993622512129475
18.95996720504143,0.01003514496830391,1.6221873664769613
19.83070374303336,0.011579669573903663,1.4804537516055272
20.599496832126142,0.01235375947977707,1.3343986249542952
21.33140875909305,0.013249315667785208,1.2052544325476928
21.361635808791323,0.014307691776542212,1.0050232042006575
20.624444781425584,0.014879595102874635,0.795541816256415
19.931415105362138,0.015513307320654023,0.7201591683549097
19.137627732024985,0.015648694470244456,0.7636322215058187
18.531329755227492,0.01502069522437267,0.9225276388835407
17.91484636819307,0.014984014595202159,1.1291978878061462
17.504685500252798,0.014593302615566234,1.3543725768137087
16.22852843652852,0.014101071658676937,1.3862728474625459
14.520437890605246,0.013489421171093379,1.2638166435957199
12.835082732529616,0.012639984925104904,1.2080204201244502
11.065748793377027,0.011579669573903677,1.2133750609836198
9.388711573245647,0.010834963820328744,1.3383964164600397
7.755182145032721,0.009813346421982276,1.5442889481824735
6.570274859080886,0.00832690056133969,1.7750134251784686
5.502758848709164,0.007255685116202427,1.8776963189066336
5.100374184896064,0.006352560632498355,1.954559087167907
6.146534884187894,0.00566573819838249,2.0570682459905747
8.124128930578797,0.00465241537345191,2.1752225862154804
10.253348265610084,0.004063111432623263,2.296364999738779
12.525838713915512,0.004450915570609803,2.418576081895606
14.527241593201142,0.005314933547345387,2.5486882128781945
15.620132488604499,0.0069851911774530834,2.447073677882102
16.07446665146605,0.008479700472602044,2.1389694341407677
16.540450249146105,0.01003514496830394,1.862029395682474
16.857966843980414,0.010919283876622447,1.5779150777700144
17.27587578596151,0.011500192522317,1.4123023754977184
17.712176965442076,0.011713543033793345,1.3480694418692045
18.238283650495614,0.01201502958911151,1.4103335583510859
18.72260976908758,0.011876832958513878,1.438762298927547
18.946286582009897,0.011814893381325733,1.3691473774919103
19.205344578161178,0.011830408678071148,1.3167092683322756
19.38070557867846,0.01192307648045187,1.251132231265143
19.647540791544063,0.011930766308068708,1.2234955167018233
19.920905992582355,0.01224938064301923,1.1849575314624476
20.271043673115894,0.012661734269996712,1.1779362672245004
19.462238531828586,0.013159017837857567,0.9918886403633248
17.905762001931777,0.012690675414657137,0.822596507923875
16.458749115393566,0.012279293705003894,0.8126183362678293
14.908030305226026,0.011930766308068708,0.9612744049896607
13.645033677418134,0.01149221458689803,1.2026128823064919
12.41720979990374,0.010986273976677233,1.5164688529340224
11.605098234403489,0.01056061640901899,1.815815565908525
13.087974046537417,0.009878552098922987,1.928982758120467
16.402105454815857,0.00967213983109109,1.9640144668586266
19.683236333339835,0.009576845489081682,2.1043143121880243
23.28633673543324,0.009595980064580758,2.338901195206115
26.356476798243285,0.010135180603440364,2.6156297160656794
29.640001999483466,0.010801051487316355,2.969978203374238
32.73206725732538,0.011524093190680365,3.3551427052346403
35.91801545920295,0.012741164234617155,3.4875537622899784
38.73410991293368,0.014094565973597721,3.3837508365504485
41.37399562074808,0.01585250000755652,3.2873024834628453
43.95727562997306,0.017916637333107627,3.159512101633519
46.434509371145445,0.019396363241035577,3.0978270821147422
48.91291956131302,0.02006114837843077,3.01728635651177
51.587253397955294,0.021699534269763402,2.9993521165494617
