t,R_mean,R_low,R_high
21,1.4845513572561317,1.4439615662322391,1.5256959232799518
22,1.4581366798855786,1.4194949246078536,1.4972901284004205
23,1.3871597258543116,1.3508829893374885,1.423910428955796
24,1.3244909605643596,1.290306454542892,1.3591161761108854
25,1.2696565677515832,1.2373052117048873,1.3024196129972103
26,1.2255179562657397,1.194682118818491,1.25674122328797
27,1.1934112068387772,1.1637522603225103,1.2234381591186365
28,1.172315310562387,1.1435369030466032,1.2014463778254896
29,1.1593814566755043,1.1312667376090684,1.1878364606262348
30,1.1517937263205764,1.1242008726063848,1.1797164599726577
31,1.1470591293360288,1.1199062225553662,1.1745327531341347
32,1.144437724688289,1.117670872234383,1.171516908600764
33,1.142417093785478,1.1160114223226167,1.1691272201621419
34,1.1402561564520144,1.1142011692339213,1.166608087936135
35,1.1382218155960915,1.1125068842011232,1.1642264701093732
36,1.136081802014584,1.110700174422545,1.161746186945615
37,1.1343046191824937,1.1092443255107192,1.1596409534583478
38,1.1324900278359067,1.107743362334238,1.1575062664886373
39,1.130667144884625,1.1062261238302038,1.1553715140868244
40,1.1288218321823749,1.104679123680201,1.153221889984167
41,1.1277325553099358,1.1038730591040753,1.1518436120814102
42,1.1267012714196085,1.1031177440290454,1.1505307708232992
43,1.12571908519323,1.1024046959966347,1.1492740473800085
44,1.1249803483039085,1.1019270302001316,1.1482690104129145
45,1.1242894670356602,1.1014919816357962,1.1473172185823541
46,1.1238495867646496,1.1013010819399554,1.1466234195613298
47,1.1233946903769183,1.1010912876086274,1.1459186151464527
48,1.1224509051085794,1.10039363767812,1.14472401355321
49,1.1214690484329128,1.0996546866194352,1.1434946872450884
50,1.1206659039476505,1.0990891706288628,1.1424494639558949
51,1.1195358096903396,1.0981959656022713,1.1410781486421402
52,1.1183494834017822,1.0972428034050323,1.139654448848334
53,1.1174303934064913,1.0965500835709536,1.138504899664242
54,1.116572306171113,1.0959135699242495,1.1374212677806854
55,1.116863865686359,1.096411925724058,1.1375021753093457
56,1.1169684986527602,1.0967213078834763,1.1373983121446722
57,1.1169308108493228,1.0968865004784933,1.137154092268597
58,1.1169249473335214,1.0970810860752305,1.1369442031772878
59,1.117236709603053,1.0975889624715094,1.1370563381372043
60,1.1177571358651404,1.0983021151145638,1.1373805888649289
61,1.1184017582628938,1.0991366383445536,1.137831928287188
62,1.1186235937485058,1.0995504207109674,1.1378584980959914
63,1.1187208402633608,1.0998394535044245,1.1377606946864147
64,1.1180841610812622,1.0993997175394339,1.1369238591486845
65,1.1175762206630522,1.0990862624318878,1.1362182746101996
66,1.1171736939559163,1.098875363964265,1.1356210247209673
67,1.1163339990988699,1.098228182428347,1.1345857958579537
68,1.1157995902642235,1.0978808017333295,1.1338614156389102
69,1.1154720282302004,1.0977357343619556,1.1333484902672217
70,1.1151897714498138,1.0976328348352016,1.1328840796774253
71,1.1144379076981081,1.0970613789445103,1.1319490800259728
72,1.1141863605702782,1.0969839476155774,1.1315207520320676
73,1.114321484909849,1.0972880102456712,1.131484332976791
74,1.1148346000164473,1.0979649297638345,1.1318310992054252
75,1.1151596117386944,1.0984530990213894,1.131990466351924
76,1.1137517543955187,1.097219764022346,1.1304056479138218
77,1.1123349970413483,1.095976352403746,1.128813145656576
78,1.110809897394333,1.0946238957940753,1.1271130466005197
79,1.1092893980189662,1.0932732372106526,1.125420410443582
80,1.1078167266575556,1.091966190531224,1.1237798935074559
81,1.106271609766218,1.0905830909056045,1.1220706157292544
82,1.1049820541553814,1.089449928839292,1.120622594357671
83,1.1045223765807732,1.0891374117584212,1.1200137491528206
84,1.1043957353556768,1.0891524915241666,1.1197434409550489
85,1.1048241877354064,1.0897160829746653,1.1200348639321769
86,1.1051041059340556,1.0901301316457543,1.1201788066797542
