iteration,beta,mu
1,0.0673050537626514,0.0005237703724467679
2,0.055108792987943384,0.0004855746350220988
3,0.010000975229098435,0.0005087088738337674
4,0.010000914406778234,0.0004828073539259136
5,0.010004596900835355,0.0004904184755000893
6,0.010002171985265677,0.0004781015328336091
7,0.010002715229505407,0.000463036706560308
8,0.010000393325582307,0.0003869133912767212
9,0.010000012750417476,0.00030340651282375063
10,0.010000355954006597,0.00025880092351511264
11,0.010022356524162187,0.0001967269674636697
12,0.010004629702222413,0.00013355502584329562
