iteration,beta,mu
1,0.02109686906173432,0.0006518862090077466
2,0.01412823439183487,0.0006202687733505259
3,0.010041415235701677,0.0005791250952116233
4,0.0101054777831099,0.0005167053384491935
5,0.011002851549796053,0.00042573574570613074
6,0.0115654566555683,0.00034164200059870557
7,0.011944872902402905,0.00026369707423079194
8,0.012120853164646082,0.00019386927957229424
9,0.012485328720408877,0.00013717307379517785
10,0.010015311485611494,9.352511614994364e-05
11,0.010018278744920516,6.067939758241592e-05
12,0.010000008478184792,3.751320264279022e-05
