State,alpha,beta,delta,lambda,kappa,E0,I0
alabama,0.4247811806382298,0.04263900033837346,1.4520689431295384,[2.59083494e-02 6.60020859e-03 1.75642135e+02],[0.00053687 0.00488912 0.14047157],1500,7000
arizona,0.49999999999999994,0.029285759314421393,1.812241035921895,[4.85353931e-03 3.23361576e-34 1.69708794e+01],[7.42270296e-04 9.74433642e-03 5.87182217e+01],9500,9500
arkansas,0.10000962696306183,0.09060901361785824,0.10884873715003933,[1.93488846e-01 2.98902569e-11 3.13135021e+01],[1.99683380e-03 5.95204617e-03 1.47067613e+02],1000,2000
california,0.4325773152396297,0.05781177568456647,1.9800267582913218,[1.62096353e-02 3.81487642e+00 6.54502628e+01],[0.00058991 0.00721677 0.13152357],9500,9500
colorado,0.10000000013548918,0.02000000003577673,1.8832045575322436,[9.99105671e-01 2.84271120e-06 2.21805686e+00],[6.59740858e-01 3.45058715e-02 4.30693509e+01],1000,1000
connecticut,0.10000000000000002,0.020000000000000004,1.9657219173894482,[1.64947592e-01 2.20374244e-04 2.01584282e+01],[1.21323764e-01 2.01232889e-02 6.43065788e+01],1000,1000
delaware,0.4999603020284054,0.03018247373829019,1.7576821787071883,[1.64845041e-02 6.41977421e-33 7.91473471e+01],[0.00164046 0.01188677 0.10000002],1000,2000
florida,0.4999998570921024,0.052699432078625756,1.888434845475605,[1.80468271e-02 4.99999909e+00 1.13478190e+02],[0.00052775 0.0066064  0.10000276],1000,9000
georgia,0.49940746592105223,0.04425347647476712,1.809180545023881,[1.27596229e-02 5.09399306e-02 9.38205230e+01],[0.00051456 0.00628026 0.19586058],3000,8000
idaho,0.10000000000000002,0.03174478099761033,0.10000000000000002,[1.67275132e-02 1.28607662e-32 3.75743251e+01],[2.84288968e-04 2.00593460e-03 4.83029956e+02],5500,1500
illinois,0.49999492027540116,0.030057501966880954,1.9391382053163837,[1.26333415e-03 4.82393860e+00 2.22921689e+01],[0.00103553 0.00801033 0.10000322],8000,7500
indiana,0.10000000000000002,0.05816080786164639,0.10000000000000002,[5.20023160e-02 9.85606615e-28 6.24121980e-02],[0.00157581 0.00520757 0.10018197],1500,1500
iowa,0.23957154875877978,0.09596537367152075,1.6363358898317888,[6.73930411e-02 1.79048836e-13 4.68903413e+01],[0.00081651 0.00336138 0.10038249],1000,2000
kansas,0.10000000001717524,0.02000000136289756,1.7813200911922487,[9.30121020e-01 1.56891925e-04 2.50269431e-01],[4.15408627e-01 1.81533764e-02 5.48709661e+01],1000,1000
kentucky,0.2995018416773896,0.032941542419616464,1.8714682941331156,[5.14642351e-03 7.23278805e-27 5.28501306e+01],[0.00035153 0.0049889  0.10000007],3500,3000
louisiana,0.10000000000000002,0.09251659688556768,0.2024696278479174,[1.32003461e-01 2.07393007e-30 1.31765451e-01],[0.00314239 0.00573145 0.100063  ],1000,1000
maine,0.10012190986082041,0.12687438951104235,1.1170772235940263,[ 0.48688346  0.18388413 16.58399234],[3.52032408e-01 3.64607949e-02 7.85483773e+01],1000,1000
maryland,0.10000000000000002,0.020000000000000004,1.9984683670951826,[5.67651378e-02 7.47980186e-20 2.38922976e+01],[1.52827578e-02 1.59298844e-10 6.10540810e+01],1000,1000
massachusetts,0.4999954133954416,0.05695400276289623,1.9088049860620397,[2.52174950e-02 5.00000000e+00 8.54336422e-13],[5.09446795e-03 1.80004034e-02 1.15690394e+01],1000,1500
michigan,0.10000000000000002,0.04335438556817561,0.10000000000000002,[3.27589002e-02 3.33761098e-25 6.82935648e-02],[0.0027358  0.00945263 0.1000085 ],1000,1000
minnesota,0.10002313994068744,0.10141396919521897,0.10001633263080925,[ 0.15456544  0.08884225 21.94926065],[4.06660475e-03 5.85160247e-03 3.12862299e+01],1000,1500
mississippi,0.1000000010716103,0.14324628517504662,1.747473095758348,[1.20314140e-01 4.09167773e-34 1.78225820e+01],[2.76472653e-03 6.32104130e-03 4.48107346e+01],2000,1500
missouri,0.49999824914399305,0.030483923026960385,1.9429302884280435,[2.18471095e-08 4.47900081e+00 3.25552035e-01],[0.00035748 0.00447992 0.10000088],4500,2500
montana,0.1000003432944233,0.07720111962385225,1.7493260905837116,[5.93547011e-02 4.55226830e-10 6.23234070e+00],[8.81143592e-04 1.49959561e-02 1.90995581e+02],2000,1000
nebraska,0.10001362791252404,0.07927733671103171,1.1074573048861267,[4.73918397e-02 4.73149510e-06 3.61007551e+01],[3.42439456e-04 9.87447703e-04 2.65661057e+01],1000,1500
nevada,0.10000000000000005,0.020000000000000004,1.6577897543738356,[0.9988565  0.24728135 0.00342849],[5.17884640e-01 3.70113370e-03 2.04687367e+01],1000,1000
new hampshire,0.1000000000342272,0.0491047294841663,0.1003785449608921,[8.00861927e-02 4.82281405e-13 1.65703591e+02],[0.00304509 0.0095189  0.17922643],1000,1000
new jersey,0.10000000000000002,0.020000000000000004,1.9314461292067095,[3.09285856e-01 5.17505144e-16 1.19006157e+01],[9.99772135e-01 4.45660148e-02 4.48194446e+01],1000,1000
new mexico,0.1000046802933765,0.040216137013285566,0.10073093198590094,[2.00514297e-02 1.00670921e-06 1.88517469e+01],[6.50402654e-04 7.37828499e-03 8.60220813e+01],1000,2000
new york,0.10000000000000002,0.020000000000000004,1.9260377520475704,[1.00000000e+00 1.69050004e-18 3.43321053e+00],[ 0.99738075  0.05233654 28.78294926],1000,1000
north carolina,0.10000059328600593,0.16231088481174474,1.6610226742484018,[1.39253025e-01 1.07591911e-28 1.11361463e+02],[0.00177212 0.00431739 0.10001158],1500,4500
north dakota,0.10000000000000002,0.133362383488095,1.5192002966969431,[1.21026346e-01 5.52408852e-30 1.77153374e+02],[2.96894306e-03 6.70141968e-03 3.11394413e+02],1000,2000
ohio,0.10000000000000002,0.0727847248442436,0.10000000000000002,[8.79278526e-02 9.31813407e-39 9.54983048e+01],[0.00205602 0.00433659 0.10386446],1000,2000
oklahoma,0.100000000050186,0.08519076100491405,0.10000008643902576,[0.08065727 0.82451536 8.58719674],[1.09903562e-03 5.79057306e-03 9.18268394e+01],1500,1000
oregon,0.10000000000000002,0.020000000000000004,1.9761626108447052,[3.00343318e-02 1.08421694e-31 8.82448743e+01],[2.83966189e-02 4.12432331e-03 4.99998918e+02],1000,1500
pennsylvania,0.10000000000000005,0.04879570658376575,0.10000000000000002,[4.62508342e-02 5.00751438e-29 1.32055881e+02],[0.00380613 0.00947008 0.1       ],1000,3000
rhode island,0.10000002475114364,0.020000000742119037,1.8480105423410984,[6.11943020e-01 3.73111390e-06 5.68906715e+00],[ 0.99863627  0.05231847 33.0335761 ],1000,1000
south carolina,0.1000000061813211,0.03710323949424554,0.100000000042603,[2.83043541e-02 7.57198758e-16 1.64683752e+01],[7.58073441e-04 9.41875588e-03 9.45419376e+01],9000,7000
south dakota,0.10000035615511038,0.06889859141840429,0.10000000000018933,[1.04429553e-01 2.76505163e-22 6.68850595e+01],[1.87833331e-03 2.55725595e-02 1.51820981e+02],1000,1000
tennessee,0.1000002373348178,0.099833952318066,0.17000309818107384,[ 0.07750381  0.04380385 26.29705416],[1.10650984e-03 3.60525931e-03 2.10333048e+02],2000,1000
texas,0.499150933195638,0.10638961515116822,1.728406131222558,[ 0.04700275  0.06360463 38.20837767],[1.37143820e-03 8.99797713e-03 1.07298406e+02],1500,1000
utah,0.10023256689433968,0.07277027313064008,0.1122299279521193,[8.25662246e-02 4.23895384e-07 3.49060928e+01],[4.18520763e-04 4.32855347e-03 1.44695263e+01],1000,1000
virginia,0.49999983588716007,0.024621726409846497,1.9194597808521092,[2.85566417e-03 3.20218371e-34 1.93854163e+01],[0.00064482 0.00702926 0.1       ],8500,7000
washington,0.10020099555261079,0.02424294792733492,1.6104504424321497,[5.04448617e-07 4.38384349e+00 6.87488986e+00],[0.00039593 0.00640568 0.11751312],1500,4500
west virginia,0.10000000000000002,0.0488271547272717,0.10000553850645057,[0.02453243 2.52926641 2.32066599],[9.16565299e-02 1.53759523e+00 9.77599743e+01],1000,1000
wisconsin,0.10008806417798904,0.08253642245883798,0.10000196948975783,[0.06294921 0.50612783 4.92430933],[6.95254058e-04 1.71832988e-06 1.03711409e+02],2000,1000
wyoming,0.10000000000000002,0.05747799807111009,1.5956272126838602,[5.28576600e-02 9.84742519e-30 2.85817235e-01],[1.71202170e-02 5.88838355e-03 4.99972305e+02],1500,1500
