active_case_ratio,death_incidence_7d,incidence_rate_7d
0.0,,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
3.4520668121471174,0.0,0.4931524017353065
6.59999183307104,0.0,0.9632120003562978
9.491827006689368,0.0,1.4153431111624948
12.268964630272002,0.0,1.8677253697152947
15.441827317353882,0.0,2.393418996631208
19.639067508729337,0.0,3.084227833822824
24.363229349157976,0.002227994609678957,3.8762188942936677
27.42088188754469,0.004455989219357922,3.9671986752442643
29.25071958356271,0.006683983829036891,3.922386039541533
30.849139265363117,0.008911978438715848,3.873573726729882
32.69361474104051,0.011139973048394813,3.8696230030461556
34.70976854084364,0.01336796765807377,3.828139102160267
37.66659088896304,0.015595962267752736,3.7694356944354266
40.9620905037412,0.015001095042064512,3.678856531618538
42.04620134714681,0.013854233501809558,3.4883051158434437
42.54220512413405,0.013794387720944448,3.3826965496881742
42.77133911949499,0.013305934990837246,3.26907679816211
43.29174315668732,0.01330593499083724,3.1540207595279246
44.26809517042681,0.013794387720944445,3.074422401542797
45.827921527646836,0.014722757412470495,2.9387015234382443
47.88874411527668,0.015001095042064507,2.819756116020189
47.610638790692256,0.015001095042064507,2.6615858354435806
46.595240504517,0.01559596226775273,2.4785636439573597
45.70826491661435,0.01559596226775273,2.343329276528339
45.22261830991643,0.01559596226775273,2.220895305514033
45.342824280898995,0.01559596226775273,2.117782418969205
46.09356239833367,0.01559596226775273,2.0251392516029165
47.0396724251985,0.01559596226775273,1.8914379558171992
45.422371051122425,0.01559596226775273,1.7072526312905631
43.40754539218666,0.015001095042064507,1.55841334963031
41.66884181589594,0.015001095042064507,1.4257749726751825
40.149135524746335,0.015001095042064507,1.270253307420291
38.7181995384982,0.015001095042064507,1.0450751444464543
37.34190047833399,0.015001095042064507,0.77705923584978
36.07528571465201,0.015001095042064507,0.61528563117673
32.642666954969705,0.014722757412470495,0.7150254565852142
29.788511118862342,0.014722757412470495,0.8874870054261529
27.31284200904645,0.014778844310478894,1.086173460389078
24.852187487136458,0.015165645797057604,1.3259762873790064
22.240039056422937,0.013367967658073772,1.6277819697682374
19.409516011613835,0.011719053977788434,2.011492959091913
16.577334117195615,0.010290666301209476,2.5029811450579658
15.346498194301127,0.007717999725907114,2.231184300042627
14.401270234482368,0.0051453331506047355,1.9738607212577963
13.516028745982437,0.002572666575302362,1.7556126283891393
12.58778703360525,0.0,1.538600877090549
11.360067940831751,0.0,1.3441752019719684
9.89911243582361,0.0,1.1572904036794178
8.52745991656262,0.0,0.9186788455577022
5.9149079074723145,0.0,1.317381140695237
5.14241234502787,0.002227994609678949,1.5910190471606307
5.521844358729919,0.004455989219357918,1.8720334975962245
7.01165856501712,0.006301720387804261,2.20116959787724
9.568704345636908,0.00853256974096655,2.5681681940209815
13.616028337584085,0.009880513462783725,3.07325670902209
18.263211434103837,0.01150531469163534,3.6411903530385663
11.055718669215427,0.013305934990837218,2.244640898196542
6.098499876365983,0.013794387720944436,1.392829305172343
4.306924118740721,0.014722757412470483,1.1180086423376099
7.09667125340951,0.01206687584956919,1.6754929308072286
11.386501577080777,0.00962603689518652,2.68280403978518
16.750750806790794,0.00761005035740122,4.092889165387483
22.67772865747618,0.005606996808583948,5.71628610025953
26.947686692953614,0.00668398382903687,5.497131120026101
29.22240411144087,0.009880513462783748,5.218527637475116
31.41241037852933,0.01379438772094445,5.013811666985301
33.90410586136197,0.014722757412470474,4.847236153381125
36.65574058096162,0.015001095042064505,4.716163605336856
40.506901541959195,0.015595962267752714,4.62155383883188
45.02200362943973,0.015595962267752714,4.552595016785547
47.066787324988674,0.015595962267752714,4.347896897166428
47.81550096197753,0.015595962267752714,4.240714474135739
48.584170246360586,0.015595962267752714,4.1427808906039845
49.544262284783706,0.015595962267752714,4.022925045352023
50.97483902422931,0.015595962267752714,3.9272241909967103
53.16544663619421,0.015595962267752714,3.7782496994630557
56.00834685379969,0.015595962267752714,3.6234581708988705
55.492940238174086,0.015001095042064505,3.3397698651859526
54.236296180379576,0.014722757412470474,3.1221468605691625
53.17992009231651,0.014778844310478895,2.924768613950215
52.33961872940348,0.015165645797057589,2.72786255831851
51.67871790915967,0.015858981861764158,2.4916418559740676
51.67169588314254,0.01682099042575183,2.261709014684493
52.39863930259969,0.018008666027116555,2.0798684701566956
50.07360269328356,0.018008666027116555,1.7663239063546217
47.76178249469379,0.018008666027116555,1.5722360881130064
46.22124987939903,0.018008666027116555,1.442697190232735
44.70951838278753,0.018008666027116555,1.296707537399611
43.31256025960685,0.018008666027116555,1.1548264402254966
42.00058272889974,0.018008666027116555,0.9775210506255478
40.99719790474372,0.018008666027116555,0.8342741608340868
